Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
45	-37.637222	32.696247	-2.3280594	-127.02773	-30.81918	26.579838	-1.0623184	-124.728966	200.0	200.0	179999	-23.616137	81.16294	26.686728	-640.19	-23.613953	81.15866	25.29459	-642.4702	22.464725	104.34062	2012.905489206314
46	-37.83326	28.893032	-1.0863854	-112.98481	-31.625395	29.589495	-1.2615609	-155.35493	200.0	200.0	183999	-23.247492	79.76446	22.341354	-641.17413	-23.249115	79.777084	20.726334	-644.0613	22.291082	93.68169	2057.9158074855804
47	-26.854761	19.385109	-1.0352265	-68.321236	-38.79055	55.310806	-1.0105196	-381.42935	200.0	200.0	187999	-23.092102	79.49735	23.614475	-643.52026	-23.09128	79.49354	24.40192	-643.3382	22.362696	86.6439	2102.7034254074097
48	-23.396393	19.001646	-1.2966516	-65.97905	-37.212692	54.719437	-1.3724827	-382.3694	200.0	200.0	191999	-23.149172	78.54311	21.971352	-643.75726	-23.14851	78.539085	19.516014	-646.8339	22.35463	99.10074	2148.0695855617523
49	-23.37171	23.501047	-1.1302991	-90.01253	-39.672016	65.24034	-1.3145527	-381.85632	200.0	200.0	195999	-22.62519	76.96443	22.72543	-647.9524	-22.623953	76.956894	20.920664	-650.5749	21.74505	92.131325	2193.018082380295
50	-22.464851	18.279465	-1.3120221	-68.32957	-33.412334	43.222137	-0.37057403	-383.46924	200.0	200.0	199999	-22.766054	76.398	18.62449	-643.99316	-22.768162	76.419685	19.525131	-643.35254	21.957537	100.894714	2237.939692735672
51	-73.79198	108.4947	-3.040925	-383.47955	-33.84337	42.52073	-0.56536937	-383.60233	200.0	200.0	203999	-23.763226	77.935715	21.368149	-636.721	-23.761482	77.92714	19.35042	-637.9818	23.136374	99.21423	2282.4744067192078
52	-38.116737	23.65846	-0.44367844	-90.056145	-44.78267	80.35127	-0.43968847	-383.6684	200.0	200.0	207999	-24.5625	78.66256	17.883453	-635.7737	-24.561655	78.66232	16.924885	-638.5033	24.03992	89.84488	2326.8714826107025
53	-25.376154	18.426558	-3.32827	-85.50101	-36.420956	43.829254	-0.47922793	-380.35452	200.0	200.0	211999	-24.667538	78.13333	21.583328	-635.5797	-24.666563	78.12958	19.025732	-636.8905	23.930214	85.595345	2371.2712485790253
54	-22.805895	24.78184	-1.4478198	-109.17755	-41.50575	66.01151	-0.85448706	-383.15015	200.0	200.0	215999	-24.50223	76.774414	17.321627	-640.98425	-24.502937	76.78394	15.819938	-644.52924	23.684242	95.562065	2416.174802303314
55	-27.32082	26.372414	-1.8392493	-118.03482	-37.281654	65.28539	-0.6184615	-383.16168	200.0	200.0	219999	-24.466408	76.59181	14.414863	-639.49713	-24.466116	76.59485	15.132106	-640.0141	23.702835	83.564514	2461.1111857891083
56	-29.674555	25.892622	-4.1272774	-85.05483	-33.70442	42.94423	-0.89806867	-383.83835	200.0	200.0	223999	-23.909733	76.14427	18.759296	-639.0002	-23.909918	76.14397	16.161644	-641.26556	23.211092	81.49155	2505.913811683655
57	-62.829613	101.13379	-15.184081	-379.67075	-43.329185	65.70936	-0.83688736	-383.08426	200.0	200.0	227999	-24.05647	77.20082	13.907354	-640.4733	-24.056746	77.199005	16.499313	-641.3684	23.318707	84.168076	2551.086871623993
58	-44.882103	80.141685	-2.2640676	-382.36685	-36.523037	64.82147	-0.71925545	-383.73053	200.0	200.0	231999	-24.06084	78.9838	15.763705	-632.5677	-24.061384	78.98867	14.534822	-634.71246	23.390862	94.494	2596.1008954048157
59	-32.844303	28.593958	-1.1158843	-86.4052	-31.414135	43.277733	-1.2131381	-383.06915	200.0	200.0	235999	-23.521608	79.04056	15.474088	-635.0341	-23.521177	79.04338	13.814087	-632.4099	22.532375	75.733345	2640.971276283264
60	-29.907944	27.420395	-0.8494954	-108.06722	-47.21242	73.50109	-0.80391884	-383.66055	200.0	200.0	239999	-23.15897	78.29531	19.96971	-630.7387	-23.158712	78.29263	16.381704	-631.6258	22.565887	99.08214	2685.461959838867
61	-29.518991	19.307697	-2.657507	-84.73098	-31.732494	28.080233	-1.0810088	-122.06782	200.0	200.0	243999	-22.86675	77.819336	15.674539	-627.871	-22.865734	77.81365	16.215044	-628.692	22.262533	78.37448	2730.4650547504425
62	-27.345129	22.371767	-1.5473136	-87.32857	-39.532166	56.233215	-1.0040777	-383.80258	200.0	200.0	247999	-22.243027	76.37095	18.673347	-625.7089	-22.240974	76.362305	15.493563	-627.8522	21.66269	79.545845	2775.0300357341766
63	-46.24967	36.55503	-8.151033	-151.1957	-39.155228	72.95069	-0.6271688	-383.79114	200.0	200.0	251999	-22.092043	76.24149	14.352251	-624.2914	-22.093557	76.248344	13.885517	-625.61566	21.367785	81.96202	2819.9035789966583
64	-56.859173	80.781975	-4.7697153	-382.17133	-29.308617	26.852308	-1.0831723	-126.780205	200.0	200.0	255999	-22.19034	76.5311	16.773298	-622.0336	-22.190636	76.535286	15.797481	-625.1048	21.393429	67.1239	2864.4700317382812
65	-30.09081	29.838333	-1.9653922	-116.77337	-37.55714	45.627205	-0.93871504	-382.7754	200.0	200.0	259999	-22.144224	76.7266	18.603472	-621.99347	-22.146465	76.7422	15.228987	-621.23944	21.340504	78.27039	2909.271001815796
66	-36.13415	34.883343	-2.0067875	-107.56636	-36.820736	56.069927	-1.0368444	-381.3125	200.0	200.0	263999	-22.154064	76.15887	16.808632	-621.79663	-22.154768	76.16755	14.862132	-625.81445	21.550488	64.61399	2953.544642686844
67	-31.547009	25.201328	-1.2236388	-101.062454	-34.07509	45.1476	-1.0811324	-382.17422	200.0	200.0	267999	-22.312637	76.46614	17.237656	-620.52527	-22.31115	76.4584	16.91151	-619.0134	21.615364	87.39559	2998.431208372116
68	-30.518066	24.304644	-1.2982376	-87.54647	-41.32254	65.51503	-1.0361668	-383.68082	200.0	200.0	271999	-21.886057	74.81741	16.881598	-615.75275	-21.883293	74.804756	15.0364895	-613.6526	21.370173	89.395874	3043.3509924411774
69	-44.53933	81.4658	-0.98508304	-383.12473	-30.56824	24.818102	-0.9907034	-162.18742	200.0	200.0	275999	-21.99206	74.87494	15.924673	-605.3011	-21.990965	74.868645	13.525945	-605.8334	21.465002	79.94777	3088.3231630325317
70	-59.633648	108.54111	-1.0070344	-383.97617	-37.90773	64.51341	-1.1786064	-380.96356	200.0	200.0	279999	-22.200123	75.1305	13.498579	-596.9663	-22.19873	75.12393	12.568568	-598.0898	21.70582	75.11233	3133.360097885132
71	-47.039112	83.43316	-1.1396571	-383.83545	-32.50107	54.964798	-0.5547552	-383.10507	200.0	200.0	283999	-22.446606	76.08315	13.536639	-593.4081	-22.445637	76.07248	13.061505	-591.7739	21.936	75.11675	3178.2497515678406
72	-46.00356	82.91496	-0.7114662	-383.6713	-36.22318	45.414684	-0.6158879	-382.2332	200.0	200.0	287999	-23.317587	77.88213	13.747787	-592.44507	-23.316122	77.87793	13.956974	-592.54297	22.474102	82.57516	3223.45787525177
73	-38.250576	80.28216	-1.0974647	-382.8165	-31.487791	43.632545	-0.7479728	-383.40414	200.0	200.0	291999	-23.13396	77.21378	14.934303	-586.2047	-23.133722	77.21142	12.010932	-588.03094	22.506716	77.65171	3267.587681531906
74	-30.78352	23.127697	-2.1908965	-106.46909	-29.2057	28.939348	-0.81095433	-159.59802	200.0	200.0	295999	-23.82555	78.01248	14.738667	-576.5114	-23.824312	78.00286	14.415298	-576.1852	23.278011	81.888626	3312.1044628620148
75	-48.163643	80.27067	-1.1951457	-378.95865	-40.457016	65.07089	-0.63143957	-382.40378	200.0	200.0	299999	-23.343847	76.309555	12.586887	-575.66473	-23.342798	76.30344	11.88537	-572.27625	22.744602	87.02593	3357.5778176784515
76	-20.913761	18.122704	-1.3420643	-56.43654	-32.94961	27.470243	-0.95118505	-137.8697	200.0	200.0	303999	-23.970543	76.86648	10.947556	-568.8606	-23.969135	76.856514	11.705762	-569.6976	23.376684	75.138435	3402.876800060272
77	-24.168344	20.569288	-1.0786804	-74.76904	-42.599606	72.96809	-0.8410665	-383.84027	200.0	200.0	307999	-23.795372	75.816925	12.001429	-566.2391	-23.795898	75.82062	11.379164	-565.34015	23.19513	63.68743	3447.764979124069
78	-21.338963	17.501945	-0.9593998	-65.10542	-32.576656	55.753582	-0.8997107	-383.72635	200.0	200.0	311999	-23.693157	75.38748	12.985392	-561.91205	-23.691725	75.380394	10.781981	-563.9235	23.21033	68.2085	3492.7754831314087
79	-25.635021	15.518554	-1.418436	-61.587692	-34.757927	55.719315	-0.9374908	-379.7332	200.0	200.0	315999	-23.295977	74.26651	13.65736	-557.3217	-23.294308	74.25129	12.095647	-557.62427	22.948782	71.68329	3537.835032224655
80	-33.06334	26.466713	-1.0313514	-92.025536	-38.781807	55.04709	-0.9136536	-380.9123	200.0	200.0	319999	-23.4617	74.50797	11.097831	-560.02747	-23.461622	74.50286	10.787722	-558.7984	22.927813	69.58584	3581.760684967041
81	-35.84479	24.674393	-1.018296	-83.24774	-33.34051	40.71314	-0.8410026	-379.30576	200.0	200.0	323999	-23.34763	73.39547	11.211662	-545.9368	-23.347315	73.39676	11.795174	-546.4798	22.900238	68.75842	3626.8656706809998
82	-58.894554	85.42413	-6.0354524	-384.10217	-42.182228	67.028305	-0.18166842	-383.8279	200.0	200.0	327999	-23.53321	73.604965	10.685179	-545.88617	-23.533533	73.60755	10.537624	-551.91125	23.050196	65.57797	3671.9681510925293
83	-53.459797	79.22837	-2.849538	-378.25357	-37.315155	56.73747	-0.68813473	-381.80194	200.0	200.0	331999	-23.831808	73.9119	12.47352	-547.24243	-23.831543	73.90847	10.7921715	-547.58075	23.380585	61.028023	3716.7093811035156
84	-65.05153	108.47221	-1.2451795	-384.32877	-34.20814	46.320225	-0.5986838	-379.23804	200.0	200.0	335999	-24.375608	75.38269	10.1523	-545.57983	-24.376825	75.38915	9.375586	-544.96796	23.934486	63.56308	3761.580189228058
85	-50.186413	81.53027	-0.7977586	-382.34583	-46.50474	80.65353	-0.53523946	-383.62286	200.0	200.0	339999	-24.74771	76.08641	11.642169	-543.5569	-24.747627	76.08164	10.402416	-545.70087	24.124622	70.68512	3807.014353990555
86	-35.053837	37.9439	-1.08921	-126.64386	-43.08949	55.909893	-0.55237585	-382.15286	200.0	200.0	343999	-25.017006	76.28806	10.471231	-540.7536	-25.017654	76.29191	9.287325	-545.1162	24.57477	69.44136	3852.333615541458
87	-63.177876	80.06472	-0.7800253	-384.27383	-40.437416	56.912743	-0.6467524	-383.5655	200.0	200.0	347999	-25.131418	76.0424	13.19385	-542.239	-25.131466	76.04532	9.502709	-542.6129	24.543587	67.82397	3897.1429812908173
88	-29.006298	28.707354	-2.6268861	-148.12836	-35.554165	55.52654	-0.3979309	-383.6699	200.0	200.0	351999	-25.119768	75.95981	10.140004	-539.5507	-25.119137	75.952896	10.072763	-539.13544	24.755928	73.68267	3942.0153963565826
89	-25.860788	26.625515	-0.5825467	-114.01488	-30.743277	26.648548	-0.5267758	-140.35062	200.0	200.0	355999	-24.879765	75.56715	13.067734	-534.0121	-24.878735	75.56155	9.598513	-535.4506	24.567715	64.87811	3986.4674122333527
90	-53.6008	79.8547	-0.54064256	-383.3292	-37.493713	55.495777	-0.6755101	-383.66125	200.0	200.0	359999	-24.802462	75.29281	9.488937	-530.026	-24.801205	75.28815	10.25858	-531.7512	24.252316	78.82945	4031.4083790779114
91	-49.594505	79.72792	-2.3617997	-379.9366	-48.67428	88.149414	-0.40132716	-383.7972	200.0	200.0	363999	-24.787428	75.39053	10.199756	-522.8068	-24.787693	75.39194	9.254408	-526.22864	24.362337	55.177	4076.4553740024567
92	-44.944916	80.24722	-2.5221784	-382.34613	-36.06367	55.22179	-0.6539681	-380.25775	200.0	200.0	367999	-25.113405	76.73431	8.949914	-523.5673	-25.114084	76.73969	8.472007	-526.2474	24.694157	59.46435	4121.349592447281
93	-31.236393	23.982592	-1.7958975	-85.59367	-34.346676	54.034702	-0.8472882	-381.31473	200.0	200.0	371999	-24.36383	75.324684	8.87899	-523.2746	-24.362856	75.32132	9.032698	-523.48883	23.96469	74.58561	4166.07445025444
94	-45.95901	82.43697	-1.1710603	-380.2556	-43.019604	65.05513	-0.76891345	-382.08267	200.0	200.0	375999	-24.483597	75.681305	12.059515	-520.267	-24.48496	75.69109	9.686604	-522.47455	24.108835	61.033745	4211.004953861237
95	-49.3066	80.054214	-0.7934133	-382.96188	-32.319687	42.67614	-0.73623204	-379.537	200.0	200.0	379999	-24.547405	76.69457	10.171034	-523.994	-24.545828	76.685936	9.200421	-525.2215	23.983719	61.462708	4255.877883911133
96	-30.970648	29.32562	-0.63012975	-123.42027	-44.803604	73.40677	-0.6971082	-383.40292	200.0	200.0	383999	-24.431183	76.61218	8.591765	-520.9713	-24.43064	76.6105	9.253472	-521.5791	23.960182	67.40044	4300.573313713074
97	-37.09128	28.637316	-4.652807	-92.58129	-36.291447	55.906094	-0.3426175	-381.5797	200.0	200.0	387999	-24.01149	75.4047	8.766933	-518.33295	-24.011097	75.40663	9.986057	-520.4858	23.593378	86.553345	4345.74613404274
98	-17.203156	14.296063	-0.5101266	-56.879623	-36.725475	55.293068	-0.49529746	-382.62146	200.0	200.0	391999	-23.575544	74.65593	10.018009	-512.61896	-23.575855	74.659065	7.6319623	-511.93967	23.003414	74.54641	4390.973397016525
99	-35.651665	39.435455	-0.62853307	-127.74155	-31.144262	40.102585	-0.6023579	-378.49182	200.0	200.0	395999	-23.621437	74.384285	8.315729	-507.22607	-23.62314	74.39309	8.43942	-510.42264	23.277554	62.07355	4435.969239234924
100	-35.1516	81.09993	-1.026795	-383.15103	-35.870857	64.755745	-0.6268124	-383.67157	200.0	200.0	399999	-23.499346	74.11051	8.861248	-509.26373	-23.499584	74.11202	9.3124275	-510.41284	22.920074	55.038147	4481.038581132889
