Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time	sigma
47	-94.47958	124.06376	-6.4436703	-381.11526	-121.06149	137.8611	-8.396585	-383.77466	200.0	200.0	187999	-98.68604	247.38646	137.46584	-432.31723	-98.68745	247.40167	144.34845	-436.02737	98.28498	960.6383	3446.047908306122	0.012285571371528645
48	-152.21025	149.36368	-8.413083	-380.51874	-112.35773	132.30525	-6.9729414	-383.64697	200.0	200.0	191999	-97.04896	246.07155	134.58496	-431.95078	-97.06245	246.08714	144.69295	-437.17157	96.70781	938.28235	3519.054986476898	0.011334184855360356
49	-69.85365	95.95539	-7.6052933	-311.09464	-122.00793	138.35783	-6.390465	-383.57553	200.0	200.0	195999	-97.31762	244.84254	134.8913	-431.20847	-97.30844	244.84232	138.6076	-432.35498	96.7941	919.3204	3591.873323917389	0.013276946172840315
50	-121.47316	128.0583	-15.853396	-362.07956	-142.43326	137.00543	-7.7436967	-381.6123	200.0	200.0	199999	-97.19452	244.12979	134.09521	-437.2178	-97.19782	244.13597	138.59848	-440.82114	96.69816	863.0129	3665.805244922638	0.011770844750224062
51	-144.56491	152.1213	-6.0945373	-383.00793	-132.11816	141.72061	-7.183459	-383.67212	200.0	200.0	203999	-95.68244	244.0466	142.66495	-437.37985	-95.68286	244.05443	146.52902	-438.75613	95.43509	919.38165	3738.6439073085785	0.012989346199678148
52	-130.31923	132.51996	-9.580291	-372.14423	-125.187355	138.26074	-5.229981	-383.70737	200.0	200.0	207999	-95.4841	244.58145	142.32787	-434.04538	-95.48571	244.58224	150.96245	-438.5998	94.53047	881.42725	3811.8333415985107	0.01552165201554964
53	-149.54764	141.2835	-9.172543	-374.52124	-129.28792	132.25528	-8.088763	-381.79263	200.0	200.0	211999	-96.49084	243.8103	146.0165	-434.92487	-96.49809	243.80617	156.25449	-439.47266	95.639854	887.078	3884.3938262462616	0.012707976103739705
54	-162.71602	143.0833	-6.630839	-380.79596	-119.805145	137.84627	-7.8575373	-383.59418	200.0	200.0	215999	-98.59445	242.52625	147.18834	-434.4943	-98.59448	242.53261	159.21304	-441.65747	97.42713	913.964	3955.2204189300537	0.009998373154261213
55	-167.08562	138.80757	-9.979469	-376.9209	-147.70662	144.85979	-8.513369	-383.7211	200.0	200.0	219999	-98.23125	241.38837	138.8286	-436.1207	-98.23695	241.38103	145.07329	-434.6116	98.06758	932.1299	4028.037892103195	0.011947581228214654
56	-157.4963	146.78279	-1.1376735	-382.57388	-131.55188	140.67674	-5.7920356	-383.71204	200.0	200.0	223999	-99.37447	240.62766	137.20119	-434.3734	-99.38241	240.63493	138.74799	-433.70108	98.77606	911.2206	4100.345657348633	0.015459720314116954
