Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
68	-28.229788	28.202568	-1.361162	-97.279594	-33.033585	42.134785	-0.975094	-379.16214	200.0	200.0	271999	-9.158373	77.750565	17.551874	-503.23965	-9.158367	77.75186	18.596111	-503.3082	8.75407	52.999306	3075.3088586330414
69	-30.374279	29.514948	-0.64474905	-133.8004	-41.027565	73.81645	-0.5313708	-383.4061	200.0	200.0	275999	-9.252133	76.427574	16.465328	-505.69797	-9.252489	76.43148	16.394619	-505.35922	9.064123	61.02709	3120.9332327842712
70	-25.845633	24.645016	-1.119729	-85.37996	-44.100704	64.79758	-1.2072791	-381.70853	200.0	200.0	279999	-9.331302	76.46809	17.423052	-504.30338	-9.331807	76.46918	18.440472	-504.13654	9.18782	57.947083	3166.480548620224
71	-28.466198	30.241299	-0.77327925	-117.90808	-41.830082	56.64833	-1.0516361	-383.36572	200.0	200.0	283999	-8.659779	75.80501	18.827175	-503.63788	-8.659383	75.79937	20.320293	-503.22867	8.421507	59.41812	3212.0532150268555
72	-23.110926	12.832287	-0.66144705	-55.447826	-30.608383	24.745378	-0.6125209	-128.17465	200.0	200.0	287999	-8.303847	74.82239	17.922682	-505.92355	-8.303913	74.826805	19.435488	-503.9934	8.340669	58.178406	3257.9836931228638
73	-37.64073	26.884247	-0.83833045	-86.64523	-45.1355	72.23175	-0.6270613	-381.74426	200.0	200.0	291999	-7.335042	74.36048	18.625488	-503.1952	-7.3348913	74.35911	18.526852	-502.78494	7.146026	64.69059	3303.626706838608
74	-48.830498	81.132164	-1.1741167	-381.97546	-35.482914	42.54985	-0.34779626	-381.14337	200.0	200.0	295999	-7.7079587	74.53332	20.18341	-500.22244	-7.7086706	74.53841	20.453041	-500.20673	7.5482264	47.776222	3348.1680562496185
75	-24.214487	23.93485	-1.0932204	-91.51052	-40.292454	64.51664	-2.9895759	-383.56448	200.0	200.0	299999	-6.688115	73.658875	19.20068	-501.65573	-6.687738	73.65959	18.180058	-501.9738	6.631944	62.431946	3393.4107642173767
76	-24.664795	29.673138	-4.833782	-129.53336	-35.905067	42.86814	-0.67379934	-377.36478	200.0	200.0	303999	-6.7933555	73.50054	23.014809	-498.62054	-6.7935076	73.500275	22.19296	-497.74124	6.869585	66.431145	3439.225699901581
77	-56.895058	81.758736	-1.1157224	-382.29895	-32.398895	28.01988	-1.4651401	-164.5563	200.0	200.0	307999	-7.0933237	73.67462	18.27952	-494.3779	-7.093187	73.6748	18.698896	-495.8109	6.975595	47.78914	3484.4968354701996
78	-42.116936	61.752525	-1.4236785	-291.98334	-46.503223	66.12017	-0.606687	-381.49554	200.0	200.0	311999	-7.930983	74.24145	18.184965	-498.83392	-7.9319115	74.24404	17.682922	-499.03735	7.744665	41.685078	3529.7054171562195
79	-66.49848	108.417404	-3.66739	-384.3467	-34.228302	54.615917	-1.0302556	-379.8294	200.0	200.0	315999	-8.163589	74.10393	17.898066	-498.52847	-8.163742	74.10697	19.745817	-498.1532	8.148124	66.08828	3575.3851296901703
80	-51.622276	80.23275	-0.99237317	-382.5633	-42.790718	72.6693	-1.0504634	-383.6823	200.0	200.0	319999	-9.098968	74.97574	17.682156	-495.8819	-9.099408	74.975174	18.012674	-496.4792	9.07446	63.752193	3620.5970582962036
81	-39.805138	35.219418	-2.3268714	-158.62848	-30.658669	40.528084	-0.08828935	-377.67792	200.0	200.0	323999	-9.511374	75.22411	17.322926	-491.4346	-9.512303	75.22678	20.353943	-490.8811	9.2561	46.52611	3666.0008506774902
82	-50.8878	80.69585	-0.57374716	-382.76785	-41.94448	57.19089	-0.8262408	-382.352	200.0	200.0	327999	-9.555208	74.244415	15.861249	-493.4366	-9.555602	74.25048	15.815096	-493.96475	9.604791	54.516563	3711.7608976364136
83	-44.37559	41.842598	-0.9178354	-168.69954	-31.874233	27.579163	-0.08803748	-127.37806	200.0	200.0	331999	-10.469364	75.133415	17.061853	-493.94342	-10.470474	75.137955	18.071648	-494.128	10.340224	56.563255	3757.503676891327
84	-35.961224	31.926172	-0.3020246	-119.48458	-39.655125	66.17564	-0.8005253	-383.45337	200.0	200.0	335999	-9.901226	74.19479	16.361383	-494.46033	-9.901783	74.198875	15.087317	-494.80417	9.752163	61.763172	3802.8872764110565
85	-32.158512	21.52936	-2.2273839	-75.332825	-36.53805	64.04524	-0.30412865	-381.84412	200.0	200.0	339999	-9.709482	73.35777	15.113573	-489.85297	-9.708796	73.354126	16.453402	-490.4094	9.787638	54.078365	3848.083573579788
86	-26.372097	22.619894	-1.5507219	-78.442154	-47.90042	73.188736	-0.14947036	-383.3691	200.0	200.0	343999	-10.3046	74.10804	16.107246	-491.5583	-10.304358	74.10412	15.122044	-491.30368	10.4746065	51.569546	3893.9604258537292
87	-44.383614	79.076485	-3.2278132	-381.19577	-42.79917	72.81632	-0.6162157	-382.60635	200.0	200.0	347999	-10.089233	73.03304	15.261828	-489.68475	-10.089054	73.02896	16.89218	-489.43436	9.884311	60.48051	3939.028870344162
88	-32.276783	25.668915	-0.25087336	-81.36474	-38.88052	57.62106	-0.4240197	-380.55917	200.0	200.0	351999	-10.235685	73.66157	14.549562	-491.3936	-10.236059	73.66595	14.8975935	-491.56537	10.346439	60.140537	3984.1884417533875
89	-37.66999	29.970602	-0.42258143	-116.15952	-34.031937	26.247051	-0.86086595	-133.90837	200.0	200.0	355999	-9.946126	72.767746	14.024723	-486.3993	-9.946565	72.771034	14.753145	-486.11423	9.731272	51.876404	4030.0259709358215
90	-23.82612	23.295933	-0.74313515	-83.61759	-34.443554	30.669834	-0.16329929	-159.56433	200.0	200.0	359999	-9.727076	72.38946	16.17524	-484.806	-9.727378	72.38902	17.708792	-484.49695	9.685422	57.601963	4074.5519630908966
91	-28.652685	21.94042	-0.5287317	-89.0264	-30.1924	27.305952	-0.5781283	-164.28421	200.0	200.0	363999	-9.720454	71.741684	14.408646	-483.20618	-9.720827	71.74439	15.556153	-483.66772	9.681648	49.3597	4119.205205202103
92	-52.460777	78.94684	-1.0034072	-378.61353	-33.49491	44.617966	-1.3425344	-383.59018	200.0	200.0	367999	-9.445169	71.7449	16.74913	-480.9134	-9.445092	71.74497	16.464636	-481.30234	9.350707	66.96222	4164.759958982468
93	-61.429756	81.544075	-4.183539	-378.2639	-27.736765	41.597694	-0.3252694	-383.53995	200.0	200.0	371999	-9.564579	71.524796	16.947617	-474.9701	-9.565585	71.52914	16.253752	-476.00046	9.445969	58.256413	4210.704638004303
94	-28.263672	24.420557	-0.34099287	-94.36057	-41.552635	64.2228	-0.57521755	-382.96976	200.0	200.0	375999	-9.493344	70.923706	16.707434	-474.4708	-9.493621	70.92859	16.872486	-474.04977	9.19446	43.93652	4256.381636619568
95	-62.417442	109.22249	-1.2768178	-383.21716	-33.154022	43.60372	-0.18257844	-383.81427	200.0	200.0	379999	-10.44295	72.17278	15.769081	-476.93076	-10.442876	72.17004	15.090054	-476.90436	10.428662	43.603134	4301.379159212112
96	-42.359013	79.03204	-0.6930131	-379.8006	-39.34911	64.90143	-0.29559147	-383.64078	200.0	200.0	383999	-9.9683485	71.93674	15.470208	-475.1474	-9.968534	71.93182	16.165537	-475.32242	9.943619	56.203255	4346.912634134293
97	-27.856777	22.446552	-0.6219713	-85.98715	-29.254309	53.18534	-0.65922016	-381.16556	200.0	200.0	387999	-10.284954	71.71549	14.8794155	-472.97906	-10.2849865	71.718994	15.167985	-472.88245	10.329876	46.584297	4392.221743583679
98	-23.091076	19.699865	-0.7240214	-76.68037	-32.371624	25.896978	-0.06059321	-106.11066	200.0	200.0	391999	-10.615875	72.0529	14.515324	-474.18866	-10.616665	72.05633	16.473871	-474.47394	10.580595	45.516525	4437.4206466674805
99	-46.044746	79.94983	-1.0537041	-382.89822	-29.865507	25.623058	-0.53550047	-115.95342	200.0	200.0	395999	-11.182097	71.55443	13.908764	-472.38815	-11.1812315	71.54926	14.568659	-471.4612	10.9635	68.165535	4483.0799515247345
100	-29.477026	33.374844	-0.6915112	-114.664825	-37.22876	56.069202	-0.58301616	-378.44824	200.0	200.0	399999	-11.720464	71.46548	13.037776	-467.80258	-11.72072	71.464485	13.492534	-467.6521	11.410365	53.205326	4528.44291639328
